op_index,latency_ms,ok,error
0,28.340,1,""
1,28.592,1,""
2,4034.798,1,""
3,4036.471,1,""
4,4040.454,1,""
5,4013.589,1,""
6,4042.658,1,""
7,4015.879,1,""
8,4044.437,1,""
9,4047.431,1,""
10,32.872,1,""
11,29.290,1,""
12,35.849,1,""
13,4037.655,1,""
14,4037.744,1,""
15,4036.323,1,""
16,4012.510,1,""
17,4013.485,1,""
18,4014.512,1,""
19,4036.950,1,""
20,4041.592,1,""
21,27.844,1,""
22,28.039,1,""
23,4034.580,1,""
24,4037.265,1,""
25,4014.375,1,""
26,4039.915,1,""
27,4016.836,1,""
28,4047.165,1,""
29,4042.376,1,""
30,4045.517,1,""
31,43.418,1,""
32,39.834,1,""
33,4046.103,1,""
34,4013.530,1,""
35,4049.429,1,""
36,4049.433,1,""
37,4048.136,1,""
38,4054.918,1,""
39,4017.965,1,""
40,4055.038,1,""
41,37.281,1,""
42,31.600,1,""
43,4041.338,1,""
44,4041.501,1,""
45,4043.494,1,""
46,4039.901,1,""
47,4015.440,1,""
48,4044.469,1,""
49,4016.021,1,""
50,4046.612,1,""
51,30.948,1,""
52,28.972,1,""
53,4036.181,1,""
54,4032.856,1,""
55,4010.770,1,""
56,4037.748,1,""
57,4040.224,1,""
58,4041.878,1,""
59,4041.145,1,""
60,4015.657,1,""
61,34.417,1,""
62,32.262,1,""
63,33.750,1,""
64,37.503,1,""
65,35.212,1,""
66,4036.950,1,""
67,4036.543,1,""
68,4037.886,1,""
69,4007.936,1,""
70,4009.240,1,""
71,4009.426,1,""
72,4016.015,1,""
73,4015.030,1,""
74,26.654,1,""
75,27.558,1,""
76,25.610,1,""
77,26.264,1,""
78,28.625,1,""
79,4019.935,1,""
